date,net,to,pairs,fill,bp
20260105,-15168.600864000062,19881859.32,216,0.9653634216741013,-7.629367364420151
20260106,-14896.653140999935,20074642.83,217,0.9695686689600423,-7.420631722890751
20260107,-12845.896658999987,19374930.47,216,0.9342857142857143,-6.630164004402741
20260108,-15758.038702499962,20036665.575000003,216,0.9571388420460933,-7.864601344727469
20260109,-11007.864758999964,20179103.77,217,0.9732562516805593,-5.45508109996699
20260112,-11151.152057999958,20740525.89,223,0.9753483386923901,-5.3765040082115085
20260113,-13179.868527000086,20538362.61,221,0.9727223131478451,-6.417195361320036
20260114,-13192.35098099997,19582125.23,212,0.9576437587657785,-6.736935253988246
20260115,-18916.099387560036,19784697.910800003,212,0.970351222253442,-9.56097458391527
20260116,-15708.894954000058,19207204.02,213,0.9364949577541565,-8.178647416689468
20260119,-14195.750379000074,19080717.97,210,0.9554553143501551,-7.439840786557191
20260120,-14261.385807000006,19218954.16,210,0.9603875748076375,-7.420479641229346
20260121,-11635.543925999937,19670911.130000003,217,0.9543937708565072,-5.915101669212785
20260122,-13580.429338199978,19584678.816000003,214,0.9620216184633362,-6.934210903221572
20260123,-15357.066997199996,19793675.286,213,0.9744100085299972,-7.758572763928283
20260126,-19921.55615699995,19175622.21,212,0.9446540880503145,-10.389001169730467
20260127,-13445.944572000039,18932725.409999996,205,0.9596465390279824,-7.1019593221893365
20260128,-16902.487551000027,18851873.03,208,0.9559332703808624,-8.965945995977265
20260129,-19271.664675000062,19221957.3,208,0.9698777214434835,-10.025859684434979
20260130,-13195.388231999921,18353094.81,200,0.9522332506203474,-7.189734684316123
20260202,-16658.270802000072,18492545.509999998,204,0.9506369426751592,-9.008100476482252
20260203,-19402.340303999947,20044059.07,216,0.9575920287849432,-9.679845901591602
20260204,-12077.190819000018,18624522.42,204,0.9483703490049034,-6.484564031575322
20260205,-17976.536147999996,18641430.490000002,204,0.9579238329238329,-9.643324399188849
20260206,-13616.808875999974,17729641.880000003,202,0.9213051823416507,-7.68025037852596
20260209,-13481.618454000018,20138274.62,220,0.9559967802522136,-6.694525081414357
20260210,-15584.204580780039,19498673.0154,211,0.96045197740113,-7.992443674742213
20260211,-13305.732162000017,18856327.909999996,207,0.9665311229277448,-7.056375040520823
20260212,-14137.995032999941,19746818.54,215,0.9523121387283237,-7.159631818341478
20260213,-13460.42688900014,19933377.27,218,0.9596361569073337,-6.7527076353781075
20260224,-13323.863517000023,19966818.86,217,0.9572254335260115,-6.673002650257941
20260225,-13620.142056000037,19763986.53,213,0.970553242117787,-6.8913941199696
20260226,-10329.604284000028,20197943.32,222,0.9444601870218192,-5.114186192299914
20260227,-10935.632535000015,19314208.3,210,0.9593672456575683,-5.661962615884191
20260302,-17467.372064999952,18378071.0,206,0.9289099526066351,-9.50446435047506
20260303,-11399.062373999946,19252636.42,214,0.9380383439844401,-5.920779952068479
20260304,-16721.85413100009,17791830.130000003,198,0.9312454434993924,-9.398613863114761
20260305,-13871.694992999996,18263952.39,209,0.9195092758827049,-7.595122182094122
20260306,-11692.06348343993,19851585.9297,217,0.9574336793540946,-5.889737739264151
20260309,-11376.855863999981,18940354.369999997,210,0.9389912413168228,-6.006675293266956
20260310,-12457.578657000027,19848311.86,219,0.9593166810221074,-6.276392040224638
20260311,-11195.857124999966,19492896.200000003,213,0.9668359725126979,-5.743557555598108
20260312,-14698.469046000013,19398092.779999997,215,0.9455048409405256,-7.577275360366646
20260313,-16011.485901000036,19284288.33,215,0.934085510688836,-8.30286584965204
20260316,-14275.940385000016,18907028.2,215,0.925697503671072,-7.550599826682448
20260317,-12665.801859000001,17725721.020000003,197,0.9266347687400319,-7.145436760913209
20260318,-18053.999129999975,19708879.9,215,0.9495822529530394,-9.16033748320724
20260319,-17286.057227999914,18850463.590000004,208,0.9435078379177758,-9.170096610870624
20260320,-19942.03712099998,18138894.98,207,0.8989598811292719,-10.994074965971262
20260323,-17869.78955699997,17896631.66,195,0.9685014317531021,-9.985001589399628
20260324,-17412.945564000027,17612484.42,198,0.9262800740283775,-9.886706014187649
20260325,-13975.83240900001,19687270.82,219,0.937112239142696,-7.0989181470507186
20260326,-14266.081958999981,18397353.67,205,0.939268680445151,-7.754420670981197
20260327,-13846.289444999875,18299317.1,206,0.9298609055933709,-7.566560746138375
20260330,-12522.831347999989,17303323.84,192,0.9428927680798005,-7.23724034977085
20260331,-19392.734691000056,18819103.130000003,207,0.9509359047078842,-10.304813442509708
20260401,-15073.918443000086,18959498.64,212,0.9279096699478865,-7.950589163364124
20260402,-13375.290741000077,18108794.78,206,0.9157616671558556,-7.386074503297274
20260403,-18584.96008800003,17932465.740000002,207,0.8986527862829149,-10.363862035182692
20260407,-14359.174956300107,18314018.4565,206,0.9232707087959009,-7.840537558923207
20260408,-15383.958461999993,20397089.26,220,0.9663140311804009,-7.542232259663108
20260409,-18711.791185200032,19307736.975999996,214,0.9523133692875391,-9.691343531590087
20260410,-19463.744891999995,19565600.81,212,0.9538888888888889,-9.947941328769243
20260413,-15484.78000200001,17768361.61,202,0.9261053906723198,-8.714804629643066
20260414,-17388.573012000044,20549064.21,224,0.963513161323951,-8.461978041578197
20260415,-17838.50746199994,18904868.61,212,0.9250851305334846,-9.435933055130574
20260416,-14578.564845000012,19007203.450000003,214,0.9316265060240964,-7.670020938824648
20260417,-14069.681607000079,18483599.96,208,0.9355281207133059,-7.6119812360406
20260420,-15297.767939999994,19399267.5,214,0.9432545201668985,-7.885745139603851
20260421,-17224.714120620025,19850176.828100003,220,0.9478245324532453,-8.67736054433361
20260422,-13529.622513000068,20121292.34,221,0.9469777306468717,-6.7240325742417335
20260423,-12783.709959000103,19724904.619999997,215,0.953475935828877,-6.480999632331862
20260424,-18115.709628000037,18890586.59,211,0.9400168966488314,-9.589807887485
20260427,-18839.091798000067,19794367.39,218,0.9532663043478261,-9.517400292124247
20260428,-23741.05440300004,19717116.490000002,218,0.9476177208135971,-12.040834883255302
20260429,-18168.48728700001,20161492.91,224,0.9395452024403772,-9.01147914398171
20260430,-15238.56337200001,20194492.259999998,219,0.9667424673109721,-7.545900721744618
20260506,-16117.439444999989,19338785.9,213,0.9526912181303117,-8.334256104981229
20260507,-14956.866674999983,19733458.35,213,0.9707064905226881,-7.579445229376118
20260508,-12253.832867999998,19519245.84,214,0.9522620038856509,-6.277820858677191
