date,sym,k,off,side,cost_bp,fillpct
20260105,002645,0,0,1,14.402135468802134,100.0
20260105,002645,1,0,1,32.65844718427191,100.0
20260105,002645,2,0,1,28.059328234120386,100.0
20260105,002645,3,0,1,21.213081009296147,100.0
20260105,002645,4,0,1,9.784212271973466,100.0
20260105,002645,5,0,1,35.37002997002997,100.0
20260105,002645,6,0,1,32.94293333333333,100.0
20260105,002645,7,0,1,25.213462179273574,100.0
20260105,002645,8,0,1,25.530356547817398,100.0
20260105,002645,9,0,1,29.96658886295432,100.0
20260105,002645,10,0,1,29.996736596736593,100.0
20260105,002645,11,0,1,12.696501166277907,100.0
20260105,002645,12,0,1,14.07477507497501,100.0
20260105,002645,13,0,1,34.227742580860294,100.0
20260105,002645,14,0,1,31.7999333111037,100.0
20260105,002645,15,0,1,22.048749583194397,100.0
20260105,002645,16,0,1,20.71297099033011,100.0
20260105,002645,17,0,1,12.057085695231745,100.0
20260105,002645,18,0,1,21.530495510475557,100.0
20260105,002645,19,0,1,18.816029265048222,100.0
20260105,002645,20,0,1,22.62129783693843,100.0
20260105,002645,21,0,1,17.064183571666113,100.0
20260105,002645,22,0,1,13.488135593220338,100.0
20260105,002645,23,0,1,17.43052876621217,100.0
20260105,002645,24,0,1,26.835098235098233,100.0
20260105,002645,25,0,1,7.61362578929877,100.0
20260105,002645,26,0,1,7.79960172585463,100.0
20260105,002645,27,0,1,7.281115167607036,100.0
20260105,002645,28,0,1,6.932094258214405,100.0
20260105,002645,29,0,1,12.850547990700763,100.0
20260105,300500,0,0,2,-121.93033990767941,100.0
20260105,300500,1,0,2,-100.99958071278824,100.0
20260105,300500,2,0,2,-93.91922591501893,100.0
20260105,300500,3,0,2,-98.84945332211943,100.0
20260105,300500,4,0,2,-50.22232558139535,100.0
20260105,300500,5,0,2,-55.01615905245347,100.0
20260105,300500,6,0,2,-37.68281714043275,100.0
20260105,300500,7,0,2,-44.72884533446954,100.0
20260105,300500,8,0,2,-51.763675213675214,100.0
20260105,300500,9,0,2,-22.40102520290474,100.0
20260105,300500,10,0,2,-21.182113821138213,100.0
20260105,300500,11,0,2,-27.817101325352716,100.0
20260105,300500,12,0,2,-26.45788798631894,100.0
20260105,300500,13,0,2,-43.897813973424775,100.0
20260105,300500,14,0,2,-96.08973252804142,100.0
20260105,300500,15,0,2,-31.073697804563068,100.0
20260105,300500,16,0,2,-44.36866637893827,100.0
20260105,300500,17,0,2,-41.46451612903226,100.0
20260105,300500,18,0,2,-28.097120756338633,100.0
20260105,300500,19,0,2,-36.96808236808237,100.0
20260105,300500,20,0,2,-50.55763799743261,100.0
20260105,300500,21,0,2,-37.42925782925783,100.0
20260105,300500,22,0,2,-35.6052338052338,100.0
20260105,300500,23,0,2,-37.68835410399656,100.0
20260105,300500,24,0,2,-40.93104336625161,100.0
20260105,300500,25,0,2,-26.673298880275624,100.0
