date,net,to,pairs,fill,bp
20260105,-22389.927785100022,22083788.042999998,231,0.9891739232760649,-10.138626462771663
20260106,-17271.505213499993,22176565.96,232,0.9908328968046097,-7.788178406274762
20260107,-14772.983179799987,22322096.634,234,0.9852700490998363,-6.618098390138878
20260108,-15605.679307800023,21628228.709,229,0.985946649316851,-7.21542180719873
20260109,-17303.930353800013,21671894.934,227,0.9896580027359781,-7.98450269646366
20260112,-15063.095533799984,22240599.014000002,232,0.9943037207611198,-6.772792191576348
20260113,-16164.293521499905,21087261.545,221,0.9817014884610132,-7.665430377010058
20260114,-19184.08938689997,22367408.102000006,234,0.9917212405782775,-8.576804831125965
20260115,-20217.039268200082,21733369.281000003,227,0.991541236472198,-9.30230329536362
20260116,-17195.580661499975,21578827.57,230,0.9751289398280802,-7.968727960645164
20260119,-19016.97274410003,22048149.198,231,0.9882736156351791,-8.625201405034518
20260120,-19644.686330100092,21626429.218000002,233,0.9743620462441596,-9.083647666508682
20260121,-18214.402623599963,21577513.968000002,227,0.990834312573443,-8.441381454143595
20260122,-18521.640969600016,20887262.518,224,0.9779452054794521,-8.867433419596578
20260123,-19770.58972469999,21708726.145999998,228,0.9908399098083427,-9.107208590561577
20260126,-16280.115029099918,21736164.768,227,0.9924930857368629,-7.489874687123976
20260127,-17549.566143299995,21439853.434,227,0.9828890699569317,-8.185487926642883
20260128,-22019.45185860004,21665769.088,229,0.9842231622270493,-10.16324496451683
20260129,-17228.135667300037,21042433.139000002,221,0.980806142034549,-8.187330596940068
20260130,-17215.0558857,21571898.401,225,0.9910073833062195,-7.980315670734834
20260202,-23746.817544599995,21403867.103,229,0.9778938418559456,-11.094638847421924
20260203,-19260.82559160004,21097215.493,222,0.9865036557593192,-9.1295581627778
20260204,-23973.508311899936,21742870.007,232,0.9711754149842979,-11.025917141656919
20260205,-19733.645712600144,20725282.623,217,0.9905358741527049,-9.521532744118344
20260206,-21762.8657445,21809454.765,230,0.9866396278182035,-9.97863815441422
20260209,-19217.777731499908,21963830.729999997,230,0.9895100252290533,-8.749738589658085
20260210,-17309.08473959998,22489098.748,235,0.9947033898305084,-7.696655581246586
20260211,-14187.59309100002,21596332.625,229,0.9796392456955453,-6.569445533810868
20260212,-20660.01442679996,21533583.529,230,0.9797021378813355,-9.594322467961
20260213,-19723.827975899978,21835504.572,232,0.9800701930308348,-9.0329160523234
20260224,-18419.752687199958,21292024.056,225,0.9870843989769821,-8.651010650163787
20260225,-16739.348882700062,21451935.155999996,227,0.9877220858009533,-7.803188272279553
20260226,-20115.053741999975,21881243.35,231,0.9805694238294427,-9.192829411131234
20260227,-18547.480429799965,21770454.824,230,0.9863583214239314,-8.51956496993026
20260302,-18912.203561700026,21335073.331,223,0.9843287265547878,-8.86437242014091
20260303,-23976.400977900106,21106063.447,222,0.987662132236634,-11.359958733236962
20260304,-21652.8864198,20294051.873999998,217,0.9744995537421904,-10.669572815836197
20260305,-18513.83641500002,21629298.060000002,233,0.9751717488248764,-8.55961037831295
20260306,-24238.815652799913,21977441.759,232,0.9835794297352343,-11.028952285983811
20260309,-24716.774119800073,21575868.814,228,0.9799288617886179,-11.455749167218714
20260310,-14304.829245000077,21329013.85,224,0.9873424971363116,-6.706746662363894
20260311,-20726.028903900085,21179460.937000003,226,0.9843935987303267,-9.78590954961097
20260312,-17811.052397400068,21138432.457000002,223,0.9804501607717042,-8.425909742187118
20260313,-21790.321807200024,20524535.915999997,220,0.9704380126915338,-10.616718398106764
20260316,-19456.085610300026,22120530.369,234,0.9846903270702854,-8.795487850312142
20260317,-21664.43030729999,20771447.549,221,0.9866249288560045,-10.429908775588913
20260318,-22493.288869199998,22050518.431,232,0.9826467081732679,-10.20079819872966
20260319,-19727.226797999985,21095191.19,226,0.9781617138908085,-9.35152785311162
20260320,-24162.890770800066,19682291.538999997,212,0.9730560843461707,-12.276462180697745
20260323,-26331.17398889995,20748065.971999995,220,0.9825663376490194,-12.690905274946827
20260324,-26687.54235239995,20643757.562,221,0.9760170768458061,-12.92765731831934
20260325,-22884.795534300014,21362158.489,227,0.9774445110977804,-10.71277303091074
20260326,-24099.32041919992,20904829.721,224,0.972467592061489,-11.528111322040996
20260327,-21942.19635390002,21137217.207,226,0.9798227675528289,-10.380834969436487
20260330,-19698.56912970003,20172206.806,220,0.9679329057720769,-9.765202845253851
20260331,-24748.167291599988,21064956.623,225,0.973069590085796,-11.748501425622893
20260401,-20909.95455419999,21190286.325999998,225,0.9802192264079627,-9.867707416744036
20260402,-23289.160226700013,20868543.721,222,0.9754579193104274,-11.15993551733279
20260403,-23703.82478519997,20171083.131,221,0.9603635445594547,-11.75138916996017
20260407,-19742.214571800076,21066886.093999997,229,0.9640887363647506,-9.371206776222522
20260408,-24383.72644169999,22903383.606,237,0.9950248756218906,-10.64634241872986
20260409,-23367.219572100006,22532609.523000002,238,0.9789295228868976,-10.37040097297567
20260410,-23520.77341049996,21305579.105000004,224,0.9851186961143262,-11.039724991554015
20260413,-21995.421852,21139816.130000003,226,0.9807282913165266,-10.4047365959753
20260414,-22198.28336010004,21899137.887999997,231,0.9878446820483961,-10.136601483414543
20260415,-20227.075465500002,21560125.285000004,228,0.9847365233192005,-9.381705902967344
20260416,-22499.985753000008,22329740.96,234,0.9913728027607032,-10.076241275393642
20260417,-24582.83933519994,21560814.186,230,0.9785188489850547,-11.401628492843383
20260420,-21953.45800889996,22075281.457000002,230,0.9891673746813934,-9.944814543661725
20260421,-23785.390315199948,22657605.626000002,238,0.979421965317919,-10.4977510456382
20260422,-20643.701746199884,22211945.541,235,0.9801734820322181,-9.293963785430066
20260423,-22560.05186909999,21958514.093,234,0.9796191112596058,-10.273942842194295
20260424,-20178.79381020001,20643759.481,224,0.9711430356027483,-9.77476695985151
20260427,-21517.712630400023,22269918.692,233,0.9928032090608778,-9.662232237125233
20260428,-25757.446913100037,21517710.082999997,226,0.9841955656623081,-11.970347594491308
20260429,-19968.876865199927,21969542.536,234,0.9839850527158681,-9.0893457760799
20260430,-17936.48196180009,21916382.209,233,0.9798004680379357,-8.1840523635486
20260506,-18838.329649799984,22328228.569000002,237,0.9848261805005095,-8.4370014359109
20260507,-23096.714551800007,22624924.964,234,0.9975780752071383,-10.208526476242772
20260508,-19392.61693859996,22248123.922999997,237,0.9804519617357549,-8.71651785369281
20260511,-21650.712708599927,22162850.658,234,0.9884697330492543,-9.768920543073186
20260512,-21143.311548000078,22432545.345,235,0.9915106407721828,-9.425284212213894
20260513,-18891.104287200098,21758077.441000003,229,0.9887973216585114,-8.682340771341543
20260514,-28378.28922479999,21852123.538999997,230,0.9884238646482636,-12.986513266846854
20260515,-23735.785585200014,21086462.656,228,0.9701906830798938,-11.256409371462865
20260518,-24134.116599300025,21069043.949,226,0.9673998871968416,-11.454775384075035
20260519,-25070.341413000002,21560747.5,226,0.9893339384999432,-11.627770054354563
20260520,-23345.146822500028,21150354.575000003,225,0.9677849366807376,-11.037709434003673
20260521,-26144.697591900003,22545945.217,237,0.9879135636674399,-11.596186072600977
20260522,-25182.655751100014,22024034.813,229,0.988268156424581,-11.434169971541994
20260525,-23476.014908999954,22125261.479999997,234,0.9800225386743161,-10.610502809298303
20260526,-22989.08278979994,21383491.674000002,227,0.9795277296360485,-10.75085544506848
20260527,-24151.313027400087,20428885.647,218,0.9779481255906752,-11.822139222237375
20260528,-24198.144775349916,20695318.9305,226,0.9644095228150777,-11.692569153736297
20260529,-23548.145062500073,21705662.385,231,0.9791960125690757,-10.848848860181915
20260601,-26701.436209500003,21726136.525,232,0.9805892547660312,-12.290006637293745
20260602,-31196.200580399975,21729929.672,225,0.9923783670912508,-14.35632836888455
20260603,-22490.008835699933,20467581.255999997,225,0.9553510565780504,-10.988112642331428
20260604,-25777.065961199965,21394447.471,227,0.9730636308192722,-12.048484073328169
20260605,-30452.68040940003,21737823.037,231,0.9801092445635371,-14.009075498299184
20260608,-31099.300592400068,21690354.637000002,231,0.9726453681185054,-14.337847911140202
20260609,-24278.355477900044,21340869.192,232,0.9701853344077357,-11.376460470973326
20260610,-30795.19911555007,22267679.777999997,233,0.984742276839051,-13.829550012648864
20260611,-32595.360401099904,20875451.563,220,0.9800652653805547,-15.614206141951184
20260612,-21912.333510300024,21032247.209,227,0.9601281930436422,-10.418446156777495
20260615,-18956.535426300037,21223285.619000003,225,0.9795480867491768,-8.93195133242203
20260616,-23710.839191999956,20894144.900000002,220,0.9747918073373847,-11.348078280054406
20260617,-26386.064404500015,21315242.235,223,0.9907425645065984,-12.37896530266667
20260618,-28388.131985100023,20850989.933000002,222,0.9679773607387548,-13.614764611329699
20260622,-34099.757144399955,21054459.992,222,0.9643443810996232,-16.19597802905263
20260623,-26891.129401199963,21254147.056,228,0.9727647867950482,-12.652179986497579
20260624,-27070.11794309999,21584365.148000002,228,0.980352440753494,-12.541540025608905
