date,net,to,pairs,fill,bp
20260105,-20663.3632671,21209383.883,227,0.9707450105367547,-9.742557059218655
20260106,-16921.54747949996,21458764.91,230,0.9752033586985043,-7.88561110132408
20260107,-18374.293912799963,20713259.579,227,0.9527950310559006,-8.87078822274241
20260108,-20150.485145999985,21637349.37,228,0.9840281537628587,-9.312825153130106
20260109,-19313.492806499933,21518713.17,229,0.9816390399151306,-8.975208068401393
20260112,-21492.194880599985,22363223.957999997,236,0.9850561797752809,-9.610508270616133
20260113,-17337.770780399987,21475623.766999997,226,0.991526581932486,-8.073232688608401
20260114,-20252.586808200038,21648926.906,227,0.9893093093093093,-9.355007246380898
20260115,-23041.300402199988,21573176.841,227,0.984705611775529,-10.680531927226317
20260116,-19306.280613,21356931.41,230,0.9692395005675369,-9.039819551960624
20260119,-21369.494916299976,20888795.663999997,224,0.976728189842944,-10.230123009498543
20260120,-18072.928823999988,21337806.85,225,0.9846699462304084,-8.469909279359696
20260121,-20732.992628099935,20893042.483,224,0.981857219538379,-9.92339562080042
20260122,-17072.507387999995,21116229.805,224,0.9791048626338191,-8.085016854645845
20260123,-21133.87898699999,21127640.72,224,0.9807740638351344,-10.002952656703446
20260126,-23122.88707379997,21156107.964,226,0.9763022323983973,-10.929650724578789
20260127,-22693.470721200007,20436941.726,218,0.969281663516068,-11.104142207505165
20260128,-21428.66852189995,20120073.232,220,0.9558408215661104,-10.650392906035098
20260129,-25688.104091399982,20847068.537,222,0.9764760147601476,-12.32216608575348
20260130,-19493.733638099933,19919817.223,214,0.9687208177925127,-9.78610065537745
20260202,-25676.735183100085,19800082.013000004,215,0.957086237529042,-12.967994357923208
20260203,-23285.02119389992,21510258.656999998,229,0.9721465838509317,-10.825077264388158
20260204,-20062.23331289999,20587456.571999997,220,0.9759532806595672,-9.744881910369472
20260205,-23571.992670900025,20567583.802,221,0.975,-11.460749545412268
20260206,-19112.538693599912,19994749.003000002,220,0.9665090118880225,-9.55877900279332
20260209,-19553.613243900014,21279447.407,229,0.9678476098034458,-9.188966644626182
20260210,-17669.073761400035,20676261.052,221,0.959,-8.545584579805311
20260211,-17586.694897199955,20974758.711000003,226,0.9839077376961245,-8.384694736906217
20260212,-19733.182570799978,21301535.729000002,228,0.9633155623254633,-9.263737047810661
20260213,-18207.94519290015,20601717.877,224,0.9606815203145478,-8.838071320852187
20260224,-20533.521121799946,21189560.809,227,0.9793759207178251,-9.69039486324728
20260225,-18097.27401120007,21169456.226,225,0.9793727041537157,-8.548766589938799
20260226,-17421.44996670005,21444214.091,232,0.9657694103002956,-8.124079480260235
20260227,-18584.034234600025,21160467.237999998,224,0.9843391386526259,-8.78243094804012
20260302,-19187.53924140006,20361206.927,222,0.9663321051962902,-9.4235765640967
20260303,-18918.130078800066,20663574.579000004,224,0.9627906976744186,-9.155303699499408
20260304,-24450.480506700005,19980871.655999996,217,0.9671532846715328,-12.236943876949354
20260305,-18414.336478800033,20039707.074,224,0.9466176277420202,-9.18892497320544
20260306,-18589.114581599904,21134406.237999998,228,0.9637803453200052,-8.795664459300674
20260309,-20783.720289900022,20885542.906999998,226,0.9742777496198682,-9.951247320908355
20260310,-20991.04370070005,21071974.631,228,0.9742838370565046,-9.961593096177666
20260311,-18028.085824499984,20901873.165,224,0.9723257051623204,-8.625105358828726
20260312,-22633.349495399947,21434149.562,228,0.983960793049677,-10.559480995469947
20260313,-18847.065643499984,20281900.675,222,0.9507957128937967,-9.29255396005926
20260316,-20165.48645670003,20525811.906,224,0.9661745735989681,-9.82445252302315
20260317,-19736.458222800018,19652466.923999995,213,0.9602264685067233,-10.042738298008507
20260318,-22548.87472769999,21285711.366,230,0.9615178331992491,-10.59343253320519
20260319,-21335.99076209997,20496528.128,223,0.9634821533749558,-10.40956333133961
20260320,-21570.928915800032,20084366.534,218,0.9677150013915947,-10.740158958602697
20260323,-25801.831256700025,19589859.816,212,0.9571314102564102,-13.171013728044345
20260324,-21441.44994209995,19538175.668,212,0.9600324061571699,-10.974131007132446
20260325,-17101.3902027,21474364.776,234,0.9585555016965585,-7.96363030109869
20260326,-20710.523472299938,20284908.389,221,0.9441295546558705,-10.209818587857532
20260327,-20544.220451399902,19632892.306999996,213,0.9689975416552854,-10.46418435457672
20260330,-18460.031130600033,18724429.483,209,0.9417680010930455,-9.85879497549444
20260331,-25286.130534300006,21055922.809,226,0.9718438973284442,-12.009034590254043
20260401,-20087.56125569997,20438721.046000004,222,0.9646809512597128,-9.82818896079177
20260402,-19256.241089400024,20400561.592,225,0.9462589459986988,-9.439074018899207
20260403,-22557.952030800043,19653200.869,220,0.9361817934412845,-11.478004107911936
20260407,-19351.703957550082,20162460.553999998,221,0.9587279293739968,-9.597888068136072
20260408,-20479.444099500004,21440519.064999998,225,0.9900713186966857,-9.55174827503646
20260409,-23085.894289800013,20739407.644,225,0.9764511201629328,-11.131414496536433
20260410,-21073.81681769997,21037442.856000006,223,0.9830573248407644,-10.017290106002399
20260413,-23981.37557819998,19675180.911,215,0.9663107042969743,-12.188642984620524
20260414,-20467.719509400005,21678147.372,234,0.965055329062318,-9.441636851236
20260415,-21589.766305799923,20631692.114,223,0.9703260614590664,-10.464370147880311
20260416,-22644.571430399985,21376796.662,231,0.9738428003590204,-10.593061153383013
20260417,-21891.378589500076,19826566.125,217,0.9507818508074852,-11.041437257204356
20260420,-20205.715743600013,21313677.883,227,0.974937343358396,-9.480163796468132
20260421,-26580.580375199963,21586744.591,232,0.9745874984945201,-12.313380678197307
20260422,-18652.93072290001,21203260.351999998,230,0.9518849206349206,-8.797199304842083
20260423,-22306.40786880005,21627309.299,231,0.9788377192982456,-10.314000489109135
20260424,-22649.72588520003,20751077.006,226,0.9501036964743199,-10.914964017844015
20260427,-22018.88634276,21811941.741800003,235,0.9753370918487198,-10.094876743854222
20260428,-25971.828834300024,21420320.059,233,0.9600219058050383,-12.124855633698925
20260429,-20829.981866700015,21733360.110999998,235,0.9753681741170338,-9.584335675806175
20260430,-21898.746590400006,21193304.007,227,0.9708969465648855,-10.332861069310855
20260506,-23466.374930999962,21188046.09,227,0.9769419039031302,-11.07528973239078
20260507,-19895.13137579998,21810013.694,230,0.9903362968689602,-9.122016911558928
20260508,-15836.958984299996,21204029.254,227,0.9754680438992899,-7.468844149662007
20260511,-19364.994509699984,21590967.506,231,0.9791163689039112,-8.969025822635585
20260512,-24607.979121599943,20933417.903,227,0.9806999485331961,-11.755356547901972
20260513,-19882.785958800047,21353693.349,231,0.9758709502507794,-9.311169563897089
20260514,-24587.12756399997,21081274.77,226,0.97471984576455,-11.663017456130795
20260515,-27225.75141993002,20498852.804899998,223,0.9668027771240292,-13.281597599170055
20260518,-28899.18971729996,21895112.233999997,229,0.9890360895386021,-13.198922850198331
20260519,-19518.957179699973,20995105.776,227,0.9746111619396157,-9.296908235638686
20260520,-26551.133972400006,21059252.572000004,229,0.9703426124197002,-12.607823512075594
20260521,-26332.26306689991,21832764.397,233,0.9714285714285714,-12.060892788509266
20260522,-27050.62189350002,21286113.23,228,0.9747480341123048,-12.708107676217608
20260525,-29030.553559800137,21968386.559,233,0.975335706516365,-13.21469534498286
20260526,-26625.572456100104,20884994.143,225,0.9634718133246102,-12.74866168206428
20260527,-27290.143883099994,20457131.382999998,222,0.9623386322415448,-13.340161615121792
20260528,-26670.93534869994,20502008.216,225,0.9597633136094674,-13.008937986809332
20260529,-27247.384138199974,21221979.151,225,0.9780115728563914,-12.839228586706085
20260601,-25036.34964209993,20555711.552999996,223,0.9697072453939188,-12.179753338894274
20260602,-27428.23576260003,21669518.013,230,0.9873573506377266,-12.657519999358202
20260603,-26783.36661479997,21779231.899,229,0.9791600550089918,-12.297663544337272
20260604,-29194.930563000024,21042560.535000004,229,0.959292391195095,-13.87422909604571
20260605,-27047.71127400003,21425159.910000004,226,0.9814064135502902,-12.624275098817698
20260608,-31509.28820220004,20948680.396000005,221,0.9802513464991023,-15.041180449827525
20260609,-26626.349066400064,21070785.027000003,229,0.9493557623478883,-12.636619391390111
20260610,-31172.796103799898,21064026.569,224,0.9634212427745664,-14.799067975767278
20260611,-32272.564767900043,20228781.377000004,219,0.9662175749044842,-15.953785928298055
20260612,-27779.495625599964,21318600.652999997,234,0.9555575835006388,-13.030637459635876
20260615,-23933.62956510001,20835486.423,222,0.9644088532977422,-11.486955033927124
20260616,-21632.923308899975,20412190.992,222,0.9615734518763569,-10.598040806779835
20260617,-22884.522994499974,20842795.9,223,0.9726615895332943,-10.97958407513839
20260618,-27763.567589999995,20544831.880000003,223,0.9647236456808199,-13.513650416885277
20260622,-34925.186104800014,20979628.413999997,225,0.9489420029127046,-16.647190033877795
20260623,-27223.51702470005,22148809.426,235,0.9809899569583931,-12.291187531164978
20260624,-27116.057148300002,20219396.904,217,0.9722391469916223,-13.410912935259526
