date,map,h,ic,nbkt,n_xs
20260609,0,1,-0.0010236595894166224,233,2800
20260609,0,2,0.0009009907356902043,231,2800
20260609,0,5,-0.0008592817706453777,225,2800
20260609,0,10,5.7297632355224015e-05,215,2800
20260609,0,30,-0.0008848678395644971,175,2800
20260609,1,1,1.173623980406731e-05,233,2800
20260609,1,2,0.0005715482074997318,231,2800
20260609,1,5,-7.367332781225206e-05,225,2800
20260609,1,10,0.0001477069799243522,215,2800
20260609,1,30,-0.00136357094194302,175,2800
20260609,2,1,-0.0009221921998605902,233,2800
20260609,2,2,0.0004887646050116402,231,2800
20260609,2,5,8.175629178429314e-06,225,2800
20260609,2,10,0.0003682853565139041,215,2800
20260609,2,30,-0.001098970350512849,175,2800
20260609,3,1,-0.00017250368216172076,233,2800
20260609,3,2,0.0005297284324457775,231,2800
20260609,3,5,-0.0002520472505834449,225,2800
20260609,3,10,-0.0003794328214313747,215,2800
20260609,3,30,0.0001589648355927174,175,2800
20260609,4,1,0.00018428080697097126,233,2800
20260609,4,2,-0.0004932550279006874,231,2800
20260609,4,5,-0.00028173518127071694,225,2800
20260609,4,10,0.000635944289884727,215,2800
20260609,4,30,2.1758128460148684e-05,175,2800
20260609,5,1,-0.0010476390671651675,233,2800
20260609,5,2,0.0003780537738115598,231,2800
20260609,5,5,0.0006921242975779473,225,2800
20260609,5,10,-0.0004434478295498955,215,2800
20260609,5,30,-0.00010909777831426691,175,2800
20260609,6,1,0.001319098210216119,233,2800
20260609,6,2,0.0008060605394715754,231,2800
20260609,6,5,0.00116131915480873,225,2800
20260609,6,10,0.001451745936864662,215,2800
20260609,6,30,0.0010787419879009616,175,2800
20260609,7,1,0.0020984544152255393,233,2800
20260609,7,2,0.0011155871462699086,231,2800
20260609,7,5,0.0015391467629565188,225,2800
20260609,7,10,0.0010085435827220713,215,2800
20260609,7,30,0.0011882202931851574,175,2800
20260609,8,1,-0.0007545676863991257,233,2800
20260609,8,2,0.00099534973481123,231,2800
20260609,8,5,0.0005820169513444163,225,2800
20260609,8,10,-0.000674364458353745,215,2800
20260609,8,30,-0.0005127033592053899,175,2800
20260609,9,1,-0.0003214186024049763,233,2800
20260609,9,2,-0.00033841458853442214,231,2800
20260609,9,5,-9.74482961473534e-05,225,2800
