# 人工推演的预期结果(先手推、再跑程序对答案 —— 不是把程序输出抄下来当预期!)
# 每条推演过程见 handcheck/README.md
case,id,filled,filled_pess,filled_opt,avg_price,through,state,ahead_rem,displaced,slippage
1,va,400,400,400,10.00,0,FILLED,0,300,-0.025
1,vb,400,400,400,10.00,0,FILLED,0,300,-0.025
1,vc,0,0,0,0,0,RESTING,0,300,0
2,wa,400,400,400,10.025,0,FILLED,0,500,0.015
2,wb,400,400,400,10.03,300,FILLED,0,500,0.02
2,wc,0,0,0,0,0,RESTING,0,500,0
3,x1,400,0,400,10.00,0,FILLED,0,0,-0.025
3,x2,0,0,0,0,0,CANCELLED,800,0,0
4,sa,400,400,400,10.10,0,FILLED,0,300,-0.05
4,sb,400,400,400,10.10,0,FILLED,0,300,-0.05
4,sc,0,0,0,0,0,RESTING,0,300,0
5,pa,300,300,300,10.00,0,CANCELLED,0,300,-0.025
5,pb,0,0,0,0,0,RESTING,0,300,0
6,qa,200,200,200,10.02,200,FILLED,0,200,-0.005
6,qb,0,0,0,0,0,CANCELLED,300,200,0
6,qb#2,300,300,300,10.02,300,FILLED,0,200,-0.005
7,ra,300,300,300,10.00,0,PARTIAL,0,0,-0.025
8,xb,200,200,200,9.98,0,FILLED,0,200,-0.02
9,xc,200,200,200,9.98,0,FILLED,0,0,-0.005
9,xd,0,0,0,0,0,RESTING,0,0,0
10,ya,400,400,400,9.99,0,PARTIAL,0,300,-0.035
11,za,150,150,150,9.98,0,PARTIAL,0,150,-0.005
